"dt_mes","id_cuenta_contable","id_entidad_contable","id_epigrafe_phc"
"20260331","10000504","3081","10201"
"20260331","10100000","3081","101"
"20260331","10101000","3081","101"
"20260331","10200000","3081","101"
"20260331","10202000","3081","101"
"20260331","10203000","3081","101"
"20260331","10205000","3081","101"
"20260331","10207000","3081","101"
"20260331","10208000","3081","101"
"20260331","10209000","3081","101"
"20260331","10210000","3081","101"
"20260331","10211000","3081","101"
"20260331","10212000","3081","101"
"20260331","10213000","3081","101"
"20260331","10214000","3081","101"
"20260331","10215000","3081","101"
"20260331","10216000","3081","101"
"20260331","10217000","3081","101"
"20260331","10218000","3081","101"
"20260331","10300000","3081","101"
"20260331","10301000","3081","101"
"20260331","10303000","3081","101"
"20260331","10400504","3081","10201"
"20260331","10401504","3081","10201"
"20260331","10402504","3081","10201"
"20260331","10403504","3081","10201"
"20260331","10404504","3081","10201"
"20260331","10407504","3081","10201"
"20260331","10410504","3081","10201"
"20260331","10411504","3081","10201"
"20260331","10414504","3081","10201"
"20260331","11300501","3081","10401"
"20260331","11300502","3081","10401"
"20260331","11300512","3081","10401"
"20260331","11300608","3081","10401"
"20260331","11300609","3081","10401"
"20260331","11300802","3081","10401"
"20260331","11301501","3081","10401"
"20260331","11400502","3081","105"
"20260331","11400546","3081","105"
"20260331","11400553","3081","105"
"20260331","11400855","3081","105"
"20260331","12304553","3081","10401"
"20260331","12308608","3081","10401"
"20260331","12308802","3081","10401"
"20260331","12317000","3081","105"
"20260331","12400523","3081","105"
"20260331","12400546","3081","105"
"20260331","12400553","3081","105"
"20260331","12400646","3081","105"
"20260331","14000000","3081","10901"
"20260331","14001000","3081","10901"
"20260331","14002000","3081","10901"
"20260331","14003000","3081","10901"
"20260331","14004000","3081","10901"
"20260331","14005000","3081","10901"
"20260331","14006000","3081","10901"
"20260331","14007000","3081","10901"
"20260331","14008000","3081","10901"
"20260331","14009000","3081","10901"
"20260331","14010000","3081","10901"
"20260331","15000153","3081","10201"
"20260331","15000155","3081","10201"
"20260331","15000156","3081","10201"
"20260331","15000515","3081","10201"
"20260331","15000553","3081","10201"
"20260331","15000556","3081","10201"
"20260331","15001153","3081","10201"
"20260331","15001155","3081","10201"
"20260331","15004153","3081","10201"
"20260331","15004156","3081","10201"
"20260331","15004553","3081","10201"
"20260331","15005153","3081","10201"
"20260331","15005155","3081","10201"
"20260331","15006153","3081","10201"
"20260331","15006156","3081","10201"
"20260331","15006553","3081","10201"
"20260331","15007153","3081","10201"
"20260331","15007155","3081","10201"
"20260331","15009153","3081","10201"
"20260331","15009155","3081","10201"
"20260331","15009156","3081","10201"
"20260331","15009553","3081","10201"
"20260331","15010153","3081","10201"
"20260331","15010156","3081","10201"
"20260331","15010553","3081","10201"
"20260331","15014153","3081","10201"
"20260331","15014156","3081","10201"
"20260331","15014553","3081","10201"
"20260331","15016153","3081","10201"
"20260331","15016156","3081","10201"
"20260331","15016553","3081","10201"
"20260331","15050153","3081","10202"
"20260331","15050156","3081","10202"
"20260331","15050553","3081","10202"
"20260331","15050556","3081","10202"
"20260331","15051153","3081","10202"
"20260331","15052153","3081","10202"
"20260331","15052156","3081","10202"
"20260331","15052553","3081","10202"
"20260331","15100553","3081","10201"
"20260331","15102553","3081","10201"
"20260331","15102556","3081","10201"
"20260331","15116153","3081","10201"
"20260331","15116553","3081","10201"
"20260331","15150153","3081","10202"
"20260331","15150553","3081","10202"
"20260331","15150556","3081","10202"
"20260331","15200153","3081","10201"
"20260331","15200154","3081","10201"
"20260331","15200156","3081","10201"
"20260331","15200553","3081","10201"
"20260331","15202153","3081","10201"
"20260331","15202553","3081","10201"
"20260331","15208153","3081","10201"
"20260331","15209153","3081","10201"
"20260331","15209553","3081","10201"
"20260331","15210153","3081","299"
"20260331","15210156","3081","299"
"20260331","15210553","3081","299"
"20260331","15250153","3081","10202"
"20260331","15250154","3081","10202"
"20260331","15250156","3081","10202"
"20260331","15250553","3081","10202"
"20260331","15252153","3081","10202"
"20260331","15252553","3081","10202"
"20260331","15302153","3081","10201"
"20260331","15302155","3081","10201"
"20260331","15302156","3081","10201"
"20260331","15302553","3081","10201"
"20260331","15302556","3081","10201"
"20260331","15308153","3081","10201"
"20260331","15308156","3081","10201"
"20260331","15310153","3081","10201"
"20260331","15310155","3081","10201"
"20260331","15310156","3081","10201"
"20260331","15310553","3081","10201"
"20260331","15311153","3081","10201"
"20260331","15317156","3081","10201"
"20260331","15320153","3081","299"
"20260331","15320156","3081","299"
"20260331","15320553","3081","299"
"20260331","15321153","3081","10201"
"20260331","15321156","3081","10201"
"20260331","15321553","3081","10201"
"20260331","15322153","3081","10201"
"20260331","15322155","3081","10201"
"20260331","15322156","3081","10201"
"20260331","15322553","3081","10201"
"20260331","15322556","3081","10201"
"20260331","15323153","3081","10201"
"20260331","15323556","3081","10201"
"20260331","15350153","3081","10202"
"20260331","15350155","3081","10202"
"20260331","15350156","3081","10202"
"20260331","15350553","3081","10202"
"20260331","15351153","3081","10202"
"20260331","15351156","3081","10202"
"20260331","15352153","3081","10202"
"20260331","15352156","3081","10202"
"20260331","15352553","3081","10202"
"20260331","15360153","3081","10202"
"20260331","15360155","3081","10202"
"20260331","15360156","3081","10202"
"20260331","15360553","3081","10202"
"20260331","15360556","3081","10202"
"20260331","15362153","3081","10202"
"20260331","15362156","3081","10202"
"20260331","15400115","3081","10201"
"20260331","15400143","3081","10201"
"20260331","15400149","3081","10201"
"20260331","15400153","3081","10201"
"20260331","15400154","3081","10201"
"20260331","15400155","3081","10201"
